id,question,answer
1,г« еж я‘Ё «бЌ”«» «б»дянњ,я‘Ё «бЌ”«» «б»дян еж гбќ’ ббгЏ«гб«  «бг«бн… «б н  г  ќб«б Ё —… гЏнд… Џбм «бЌ”«» «б»дян.
2,яг г—… н г ≈’ѕ«— я‘жЁ «бЌ”«»«  «б»дян…њ,"н г ≈’ѕ«— я‘жЁ «бЌ”«»«  «б»дян… Џ«ѕ…р ‘е—нр«° жбяд »Џ÷ «б»джя ёѕ  жЁ—е« √”»жЏнр« √ж Џдѕ «бЎб»."
3,г« «бгЏбжг«  «б н н ÷где« я‘Ё «бЌ”«» «б»дянњ,"н ÷гд я‘Ё «бЌ”«» «б»дян  Ё«’нб «бЌ”«»° ж”ћб «бгЏ«гб« ° ж«б≈нѕ«Џ« ° ж«б”Ќж»« ° ж«б—”жг° ж«б—’нѕ «бде«∆н."
4,еб нћ» Џбм «б»джя  жЁн— я‘жЁ «бЌ”«»«  «б»дян…њ,"дЏг°   Ўб» гЏўг «бёж«днд «бг«бн… гд «б»джя  жЁн— я‘жЁ ѕж—н… бЌ«гбн «бЌ”«»« ."
5,еб нгяддн «” б«г я‘Ё «бЌ”«» «б»дян ≈бя —жднр«њ,"дЏг°  жЁ— «бЏѕнѕ гд «б»джя я‘жЁ Ќ”«» ≈бя —ждн… (e-statements) я»ѕнб Џд «бя‘жЁ «бж—ён…."
6,яг гд «бжё  нћ» «б«Ќ Ё«ў »я‘жЁ «бЌ”«»«  «б»дян…њ,нхж’м »«б«Ќ Ё«ў »я‘жЁ «бЌ”«»«  «б»дян… бгѕ… б«  ёб Џд ”д… ббЌ”«»«  «б‘ќ’н… жЌ м 7 ”дж«  бб√џ—«÷ «б÷—н»н… √ж «б ћ«—н….
7,еб нгяд бб»дя Ё—÷ —”жг Џбм «бя‘жЁ «бж—ён…њ,"дЏг° »Џ÷ «б»джя  Ё—÷ —”жгр« Џбм «бя‘жЁ «бж—ён… б ‘ћнЏ «бя‘жЁ «б≈бя —ждн…."
8,г«–« нћ» √д √ЁЏб ≈–« жћѕ  ќЎ√р Ён я‘Ё «бЌ”«» «б»дянњ,"нћ» «б≈»б«џ Џд √н  д«ё÷«  ≈бм «б»дя Ёж—р«° Џ«ѕ…р ќб«б 60 нжгр« гд «” б«г «бя‘Ё."
9,еб нћ» Џбм «б»джя  жЁн— я‘жЁ «бЌ”«» ббЌ”«»«  «бгџбё…њ,"дЏг° нћ» Џбм «б»джя  жЁн— я‘Ё де«∆н Џдѕ ≈џб«ё «бЌ”«»° жёѕ  Ќ Ёў »«бя‘жЁ «б”«»ё… бЁ —… “гдн… гЌѕѕ…."
10,еб нгяддн Ўб» я‘жЁ «бЌ”«»«  «бёѕнг…њ,"дЏг°   нЌ гЏўг «б»джя ббЏгб«Ѕ Ўб» я‘жЁ «бЌ”«»«  «бёѕнг…° жёѕ н г Ё—÷ —”жг Ќ”» Ё —… «бЎб»."
11,г« √егн… г—«ћЏ… я‘Ё «бЌ”«» «б»дян »‘яб ѕж—нњ,г—«ћЏ… я‘Ё «бЌ”«» «б»дян »«д ў«г  ”«Џѕ Ён «я ‘«Ё √н √ќЎ«Ѕ √ж гЏ«гб«  г‘»же… Ён жё  г»я—
12,янЁ нгяд бб»дя Ќг«н… гЏбжг«  «бЏгнб Ён я‘жЁ «бЌ”«»«  «б»дян…њ, ” ќѕг «б»джя  ёдн«  «б ‘Ён— ж√дўг… «б√г«д «бг Ўж—… б÷г«д Ќг«н… »н«д«  «бЏгб«Ѕ
13,г« «б≈ћ—«Ѕ«  «б н нгяд « ќ«–е« ≈–«  г «бЏЋж— Џбм гЏ«гб… џн— г’—Ќ »е« Ён я‘Ё «бЌ”«» «б»дянњ,нд»џн Џбм «бЏгнб «б« ’«б »ќѕг… «бЏгб«Ѕ ж≈»б«џег Џбм «бЁж— бг «»Џ… «б Ќёнё ж« ќ«– «б≈ћ—«Ѕ«  «бб«“г…
14,янЁ н”«ег я‘Ё «бЌ”«» «б»дян Ён ≈ѕ«—… «бдЁё«  «б‘ќ’н…њ,нгяд «” ќѕ«г я‘Ё «бЌ”«» «б»дян б  »Џ «бдЁё«  ж Ќѕнѕ гћ«б«  «б≈дЁ«ё «б“«∆ѕ гг« н”«Џѕ Џбм «б ќЎнЎ «бг«бн «б√Ё÷б
15,г« «бЁ—ё »нд я‘Ё «бЌ”«» «б»дян ж«б ё—н— «бг«бн «б”джнњ,"я‘Ё «бЌ”«» «б»дян нџЎн «бгЏ«гб«  ќб«б Ё —… ё’н—… Џ«ѕ…р ‘е—н…° »ндг« «б ё—н— «бг«бн «б”джн нёѕг дў—… ‘«гб… Џбм «б√ѕ«Ѕ «бг«бн бб”д… »√ягбе«"
